"","REF_DATE","GEO","DGUID","Violations","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"12",2016,"Canada","2016A000011124","Trafficking in persons [1525]","Percentage change in rate","Percent",239,"units",0,"v44385748","1.58.3",3.01,NA,NA,NA,2
"13",2017,"Canada","2016A000011124","Trafficking in persons [1525]","Percentage change in rate","Percent",239,"units",0,"v44385748","1.58.3",6.35,NA,NA,NA,2
"14",2018,"Canada","2016A000011124","Trafficking in persons [1525]","Percentage change in rate","Percent",239,"units",0,"v44385748","1.58.3",-12.43,NA,NA,NA,2
"15",2019,"Canada","2016A000011124","Trafficking in persons [1525]","Percentage change in rate","Percent",239,"units",0,"v44385748","1.58.3",41.25,NA,NA,NA,2
"16",2015,"Canada","2016A000011124","Trafficking in persons [1525]","Unfounded incidents","Number",223,"units",0,"v1000149423","1.58.15",NA,"..",NA,NA,0
"17",2016,"Canada","2016A000011124","Trafficking in persons [1525]","Unfounded incidents","Number",223,"units",0,"v1000149423","1.58.15",NA,"..",NA,NA,0
"18",2017,"Canada","2016A000011124","Trafficking in persons [1525]","Unfounded incidents","Number",223,"units",0,"v1000149423","1.58.15",46,NA,NA,NA,0
"19",2018,"Canada","2016A000011124","Trafficking in persons [1525]","Unfounded incidents","Number",223,"units",0,"v1000149423","1.58.15",50,NA,NA,NA,0
"20",2019,"Canada","2016A000011124","Trafficking in persons [1525]","Unfounded incidents","Number",223,"units",0,"v1000149423","1.58.15",64,NA,NA,NA,0
"21",2015,"Canada","2016A000011124","Trafficking in persons [1525]","Percent unfounded","Percent",239,"units",0,"v1000149424","1.58.16",NA,"..",NA,NA,2
"22",2016,"Canada","2016A000011124","Trafficking in persons [1525]","Percent unfounded","Percent",239,"units",0,"v1000149424","1.58.16",NA,"..",NA,NA,2
"23",2017,"Canada","2016A000011124","Trafficking in persons [1525]","Percent unfounded","Percent",239,"units",0,"v1000149424","1.58.16",14.65,NA,NA,NA,2
"24",2018,"Canada","2016A000011124","Trafficking in persons [1525]","Percent unfounded","Percent",239,"units",0,"v1000149424","1.58.16",17.36,NA,NA,NA,2
"25",2019,"Canada","2016A000011124","Trafficking in persons [1525]","Percent unfounded","Percent",239,"units",0,"v1000149424","1.58.16",15.8,NA,NA,NA,2
"26",2015,"Canada","2016A000011124","Trafficking in persons [1525]","Total cleared","Number",223,"units",0,"v44357663","1.58.4",167,NA,NA,NA,0
"27",2016,"Canada","2016A000011124","Trafficking in persons [1525]","Total cleared","Number",223,"units",0,"v44357663","1.58.4",177,NA,NA,NA,0
"28",2017,"Canada","2016A000011124","Trafficking in persons [1525]","Total cleared","Number",223,"units",0,"v44357663","1.58.4",182,NA,NA,NA,0
"29",2018,"Canada","2016A000011124","Trafficking in persons [1525]","Total cleared","Number",223,"units",0,"v44357663","1.58.4",138,NA,NA,NA,0
"30",2019,"Canada","2016A000011124","Trafficking in persons [1525]","Total cleared","Number",223,"units",0,"v44357663","1.58.4",188,NA,NA,NA,0
"31",2015,"Canada","2016A000011124","Trafficking in persons [1525]","Cleared by charge","Number",223,"units",0,"v44407067","1.58.5",155,NA,NA,NA,0
"32",2016,"Canada","2016A000011124","Trafficking in persons [1525]","Cleared by charge","Number",223,"units",0,"v44407067","1.58.5",163,NA,NA,NA,0
"33",2017,"Canada","2016A000011124","Trafficking in persons [1525]","Cleared by charge","Number",223,"units",0,"v44407067","1.58.5",170,NA,NA,NA,0
"34",2018,"Canada","2016A000011124","Trafficking in persons [1525]","Cleared by charge","Number",223,"units",0,"v44407067","1.58.5",132,NA,NA,NA,0
"35",2019,"Canada","2016A000011124","Trafficking in persons [1525]","Cleared by charge","Number",223,"units",0,"v44407067","1.58.5",173,NA,NA,NA,0
"36",2015,"Canada","2016A000011124","Trafficking in persons [1525]","Cleared otherwise","Number",223,"units",0,"v44369211","1.58.6",12,NA,NA,NA,0
"37",2016,"Canada","2016A000011124","Trafficking in persons [1525]","Cleared otherwise","Number",223,"units",0,"v44369211","1.58.6",14,NA,NA,NA,0
"38",2017,"Canada","2016A000011124","Trafficking in persons [1525]","Cleared otherwise","Number",223,"units",0,"v44369211","1.58.6",12,NA,NA,NA,0
"39",2018,"Canada","2016A000011124","Trafficking in persons [1525]","Cleared otherwise","Number",223,"units",0,"v44369211","1.58.6",6,NA,NA,NA,0
"40",2019,"Canada","2016A000011124","Trafficking in persons [1525]","Cleared otherwise","Number",223,"units",0,"v44369211","1.58.6",15,NA,NA,NA,0
"41",2015,"Canada","2016A000011124","Trafficking in persons [1525]","Total, persons charged","Number",223,"units",0,"v44327320","1.58.7",145,NA,NA,NA,0
"42",2016,"Canada","2016A000011124","Trafficking in persons [1525]","Total, persons charged","Number",223,"units",0,"v44327320","1.58.7",183,NA,NA,NA,0
"43",2017,"Canada","2016A000011124","Trafficking in persons [1525]","Total, persons charged","Number",223,"units",0,"v44327320","1.58.7",236,NA,NA,NA,0
"44",2018,"Canada","2016A000011124","Trafficking in persons [1525]","Total, persons charged","Number",223,"units",0,"v44327320","1.58.7",158,NA,NA,NA,0
"45",2019,"Canada","2016A000011124","Trafficking in persons [1525]","Total, persons charged","Number",223,"units",0,"v44327320","1.58.7",223,NA,NA,NA,0
"46",2015,"Canada","2016A000011124","Trafficking in persons [1525]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate",257,"units",0,"v44399768","1.58.8",0.47,NA,NA,NA,2
"47",2016,"Canada","2016A000011124","Trafficking in persons [1525]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate",257,"units",0,"v44399768","1.58.8",0.58,NA,NA,NA,2
"48",2017,"Canada","2016A000011124","Trafficking in persons [1525]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate",257,"units",0,"v44399768","1.58.8",0.74,NA,NA,NA,2
"49",2018,"Canada","2016A000011124","Trafficking in persons [1525]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate",257,"units",0,"v44399768","1.58.8",0.49,NA,NA,NA,2
"50",2019,"Canada","2016A000011124","Trafficking in persons [1525]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate",257,"units",0,"v44399768","1.58.8",0.68,NA,NA,NA,2
"51",2015,"Canada","2016A000011124","Trafficking in persons [1525]","Total, adult charged","Number",223,"units",0,"v44357424","1.58.9",138,NA,NA,NA,0
"52",2016,"Canada","2016A000011124","Trafficking in persons [1525]","Total, adult charged","Number",223,"units",0,"v44357424","1.58.9",177,NA,NA,NA,0
"53",2017,"Canada","2016A000011124","Trafficking in persons [1525]","Total, adult charged","Number",223,"units",0,"v44357424","1.58.9",217,NA,NA,NA,0
"54",2018,"Canada","2016A000011124","Trafficking in persons [1525]","Total, adult charged","Number",223,"units",0,"v44357424","1.58.9",151,NA,NA,NA,0
"55",2019,"Canada","2016A000011124","Trafficking in persons [1525]","Total, adult charged","Number",223,"units",0,"v44357424","1.58.9",216,NA,NA,NA,0
"56",2015,"Canada","2016A000011124","Trafficking in persons [1525]","Rate, adult charged per 100,000 population aged 18 years and over","Rate",257,"units",0,"v44417022","1.58.10",0.48,NA,NA,NA,2
"57",2016,"Canada","2016A000011124","Trafficking in persons [1525]","Rate, adult charged per 100,000 population aged 18 years and over","Rate",257,"units",0,"v44417022","1.58.10",0.61,NA,NA,NA,2
"58",2017,"Canada","2016A000011124","Trafficking in persons [1525]","Rate, adult charged per 100,000 population aged 18 years and over","Rate",257,"units",0,"v44417022","1.58.10",0.74,NA,NA,NA,2
"59",2018,"Canada","2016A000011124","Trafficking in persons [1525]","Rate, adult charged per 100,000 population aged 18 years and over","Rate",257,"units",0,"v44417022","1.58.10",0.51,NA,NA,NA,2
"60",2019,"Canada","2016A000011124","Trafficking in persons [1525]","Rate, adult charged per 100,000 population aged 18 years and over","Rate",257,"units",0,"v44417022","1.58.10",0.71,NA,NA,NA,2
"61",2015,"Canada","2016A000011124","Trafficking in persons [1525]","Total, youth charged","Number",223,"units",0,"v44345110","1.58.11",7,NA,NA,NA,0
"62",2016,"Canada","2016A000011124","Trafficking in persons [1525]","Total, youth charged","Number",223,"units",0,"v44345110","1.58.11",6,NA,NA,NA,0
"63",2017,"Canada","2016A000011124","Trafficking in persons [1525]","Total, youth charged","Number",223,"units",0,"v44345110","1.58.11",19,NA,NA,NA,0
"64",2018,"Canada","2016A000011124","Trafficking in persons [1525]","Total, youth charged","Number",223,"units",0,"v44345110","1.58.11",7,NA,NA,NA,0
"65",2019,"Canada","2016A000011124","Trafficking in persons [1525]","Total, youth charged","Number",223,"units",0,"v44345110","1.58.11",7,NA,NA,NA,0
"66",2015,"Canada","2016A000011124","Trafficking in persons [1525]","Rate, youth charged per 100,000 population aged 12 to 17 years","Rate",257,"units",0,"v44342331","1.58.12",0.3,NA,NA,NA,2
"67",2016,"Canada","2016A000011124","Trafficking in persons [1525]","Rate, youth charged per 100,000 population aged 12 to 17 years","Rate",257,"units",0,"v44342331","1.58.12",0.25,NA,NA,NA,2
"68",2017,"Canada","2016A000011124","Trafficking in persons [1525]","Rate, youth charged per 100,000 population aged 12 to 17 years","Rate",257,"units",0,"v44342331","1.58.12",0.8,NA,NA,NA,2
"69",2018,"Canada","2016A000011124","Trafficking in persons [1525]","Rate, youth charged per 100,000 population aged 12 to 17 years","Rate",257,"units",0,"v44342331","1.58.12",0.29,NA,NA,NA,2
"70",2019,"Canada","2016A000011124","Trafficking in persons [1525]","Rate, youth charged per 100,000 population aged 12 to 17 years","Rate",257,"units",0,"v44342331","1.58.12",0.29,NA,NA,NA,2
"71",2015,"Canada","2016A000011124","Trafficking in persons [1525]","Total, youth not charged","Number",223,"units",0,"v53081030","1.58.13",1,NA,NA,NA,0
"72",2016,"Canada","2016A000011124","Trafficking in persons [1525]","Total, youth not charged","Number",223,"units",0,"v53081030","1.58.13",0,NA,NA,NA,0
"73",2017,"Canada","2016A000011124","Trafficking in persons [1525]","Total, youth not charged","Number",223,"units",0,"v53081030","1.58.13",1,NA,NA,NA,0
"74",2018,"Canada","2016A000011124","Trafficking in persons [1525]","Total, youth not charged","Number",223,"units",0,"v53081030","1.58.13",1,NA,NA,NA,0
"75",2019,"Canada","2016A000011124","Trafficking in persons [1525]","Total, youth not charged","Number",223,"units",0,"v53081030","1.58.13",1,NA,NA,NA,0
"76",2015,"Canada","2016A000011124","Trafficking in persons [1525]","Rate, youth not charged per 100,000 population aged 12 to 17 years","Rate",257,"units",0,"v53081031","1.58.14",0.04,NA,NA,NA,2
"77",2016,"Canada","2016A000011124","Trafficking in persons [1525]","Rate, youth not charged per 100,000 population aged 12 to 17 years","Rate",257,"units",0,"v53081031","1.58.14",0,NA,NA,NA,2
"78",2017,"Canada","2016A000011124","Trafficking in persons [1525]","Rate, youth not charged per 100,000 population aged 12 to 17 years","Rate",257,"units",0,"v53081031","1.58.14",0.04,NA,NA,NA,2
"79",2018,"Canada","2016A000011124","Trafficking in persons [1525]","Rate, youth not charged per 100,000 population aged 12 to 17 years","Rate",257,"units",0,"v53081031","1.58.14",0.04,NA,NA,NA,2
"80",2019,"Canada","2016A000011124","Trafficking in persons [1525]","Rate, youth not charged per 100,000 population aged 12 to 17 years","Rate",257,"units",0,"v53081031","1.58.14",0.04,NA,NA,NA,2
"81",2015,"Ontario [35]","2016A000235","Trafficking in persons [1525]","Actual incidents","Number",223,"units",0,"v44345336","16.58.1",147,NA,NA,NA,0
"82",2016,"Ontario [35]","2016A000235","Trafficking in persons [1525]","Actual incidents","Number",223,"units",0,"v44345336","16.58.1",145,NA,NA,NA,0
"83",2017,"Ontario [35]","2016A000235","Trafficking in persons [1525]","Actual incidents","Number",223,"units",0,"v44345336","16.58.1",194,NA,NA,NA,0
"84",2018,"Ontario [35]","2016A000235","Trafficking in persons [1525]","Actual incidents","Number",223,"units",0,"v44345336","16.58.1",158,NA,NA,NA,0
"85",2019,"Ontario [35]","2016A000235","Trafficking in persons [1525]","Actual incidents","Number",223,"units",0,"v44345336","16.58.1",187,NA,NA,NA,0
"86",2015,"Ontario [35]","2016A000235","Trafficking in persons [1525]","Rate per 100,000 population","Rate",257,"units",0,"v44342486","16.58.2",1.07,NA,NA,NA,2
"87",2016,"Ontario [35]","2016A000235","Trafficking in persons [1525]","Rate per 100,000 population","Rate",257,"units",0,"v44342486","16.58.2",1.05,NA,NA,NA,2
"88",2017,"Ontario [35]","2016A000235","Trafficking in persons [1525]","Rate per 100,000 population","Rate",257,"units",0,"v44342486","16.58.2",1.38,NA,NA,NA,2
"89",2018,"Ontario [35]","2016A000235","Trafficking in persons [1525]","Rate per 100,000 population","Rate",257,"units",0,"v44342486","16.58.2",1.1,NA,NA,NA,2
"90",2019,"Ontario [35]","2016A000235","Trafficking in persons [1525]","Rate per 100,000 population","Rate",257,"units",0,"v44342486","16.58.2",1.28,NA,NA,NA,2
"91",2015,"Ontario [35]","2016A000235","Trafficking in persons [1525]","Percentage change in rate","Percent",239,"units",0,"v44374344","16.58.3",50.56,NA,NA,NA,2
"92",2016,"Ontario [35]","2016A000235","Trafficking in persons [1525]","Percentage change in rate","Percent",239,"units",0,"v44374344","16.58.3",-2.56,NA,NA,NA,2
"93",2017,"Ontario [35]","2016A000235","Trafficking in persons [1525]","Percentage change in rate","Percent",239,"units",0,"v44374344","16.58.3",31.92,NA,NA,NA,2
"94",2018,"Ontario [35]","2016A000235","Trafficking in persons [1525]","Percentage change in rate","Percent",239,"units",0,"v44374344","16.58.3",-19.96,NA,NA,NA,2
"95",2019,"Ontario [35]","2016A000235","Trafficking in persons [1525]","Percentage change in rate","Percent",239,"units",0,"v44374344","16.58.3",16.34,NA,NA,NA,2
"96",2015,"Ontario [35]","2016A000235","Trafficking in persons [1525]","Unfounded incidents","Number",223,"units",0,"v1000158543","16.58.15",NA,"..",NA,NA,0
"97",2016,"Ontario [35]","2016A000235","Trafficking in persons [1525]","Unfounded incidents","Number",223,"units",0,"v1000158543","16.58.15",NA,"..",NA,NA,0
"98",2017,"Ontario [35]","2016A000235","Trafficking in persons [1525]","Unfounded incidents","Number",223,"units",0,"v1000158543","16.58.15",23,NA,NA,NA,0
"99",2018,"Ontario [35]","2016A000235","Trafficking in persons [1525]","Unfounded incidents","Number",223,"units",0,"v1000158543","16.58.15",13,NA,NA,NA,0
"100",2019,"Ontario [35]","2016A000235","Trafficking in persons [1525]","Unfounded incidents","Number",223,"units",0,"v1000158543","16.58.15",14,NA,NA,NA,0
"101",2015,"Ontario [35]","2016A000235","Trafficking in persons [1525]","Percent unfounded","Percent",239,"units",0,"v1000158544","16.58.16",NA,"..",NA,NA,2
"102",2016,"Ontario [35]","2016A000235","Trafficking in persons [1525]","Percent unfounded","Percent",239,"units",0,"v1000158544","16.58.16",NA,"..",NA,NA,2
"103",2017,"Ontario [35]","2016A000235","Trafficking in persons [1525]","Percent unfounded","Percent",239,"units",0,"v1000158544","16.58.16",10.6,NA,NA,NA,2
"104",2018,"Ontario [35]","2016A000235","Trafficking in persons [1525]","Percent unfounded","Percent",239,"units",0,"v1000158544","16.58.16",7.6,NA,NA,NA,2
"105",2019,"Ontario [35]","2016A000235","Trafficking in persons [1525]","Percent unfounded","Percent",239,"units",0,"v1000158544","16.58.16",6.97,NA,NA,NA,2
"106",2015,"Ontario [35]","2016A000235","Trafficking in persons [1525]","Total cleared","Number",223,"units",0,"v44401956","16.58.4",103,NA,NA,NA,0
"107",2016,"Ontario [35]","2016A000235","Trafficking in persons [1525]","Total cleared","Number",223,"units",0,"v44401956","16.58.4",108,NA,NA,NA,0
"108",2017,"Ontario [35]","2016A000235","Trafficking in persons [1525]","Total cleared","Number",223,"units",0,"v44401956","16.58.4",130,NA,NA,NA,0
"109",2018,"Ontario [35]","2016A000235","Trafficking in persons [1525]","Total cleared","Number",223,"units",0,"v44401956","16.58.4",90,NA,NA,NA,0
"110",2019,"Ontario [35]","2016A000235","Trafficking in persons [1525]","Total cleared","Number",223,"units",0,"v44401956","16.58.4",133,NA,NA,NA,0
"111",2015,"Ontario [35]","2016A000235","Trafficking in persons [1525]","Cleared by charge","Number",223,"units",0,"v44340912","16.58.5",96,NA,NA,NA,0
"112",2016,"Ontario [35]","2016A000235","Trafficking in persons [1525]","Cleared by charge","Number",223,"units",0,"v44340912","16.58.5",108,NA,NA,NA,0
"113",2017,"Ontario [35]","2016A000235","Trafficking in persons [1525]","Cleared by charge","Number",223,"units",0,"v44340912","16.58.5",127,NA,NA,NA,0
"114",2018,"Ontario [35]","2016A000235","Trafficking in persons [1525]","Cleared by charge","Number",223,"units",0,"v44340912","16.58.5",89,NA,NA,NA,0
"115",2019,"Ontario [35]","2016A000235","Trafficking in persons [1525]","Cleared by charge","Number",223,"units",0,"v44340912","16.58.5",127,NA,NA,NA,0
"116",2015,"Ontario [35]","2016A000235","Trafficking in persons [1525]","Cleared otherwise","Number",223,"units",0,"v44375416","16.58.6",7,NA,NA,NA,0
"117",2016,"Ontario [35]","2016A000235","Trafficking in persons [1525]","Cleared otherwise","Number",223,"units",0,"v44375416","16.58.6",0,NA,NA,NA,0
"118",2017,"Ontario [35]","2016A000235","Trafficking in persons [1525]","Cleared otherwise","Number",223,"units",0,"v44375416","16.58.6",3,NA,NA,NA,0
"119",2018,"Ontario [35]","2016A000235","Trafficking in persons [1525]","Cleared otherwise","Number",223,"units",0,"v44375416","16.58.6",1,NA,NA,NA,0
"120",2019,"Ontario [35]","2016A000235","Trafficking in persons [1525]","Cleared otherwise","Number",223,"units",0,"v44375416","16.58.6",6,NA,NA,NA,0
"121",2015,"Ontario [35]","2016A000235","Trafficking in persons [1525]","Total, persons charged","Number",223,"units",0,"v44387244","16.58.7",94,NA,NA,NA,0
"122",2016,"Ontario [35]","2016A000235","Trafficking in persons [1525]","Total, persons charged","Number",223,"units",0,"v44387244","16.58.7",125,NA,NA,NA,0
"123",2017,"Ontario [35]","2016A000235","Trafficking in persons [1525]","Total, persons charged","Number",223,"units",0,"v44387244","16.58.7",171,NA,NA,NA,0
"124",2018,"Ontario [35]","2016A000235","Trafficking in persons [1525]","Total, persons charged","Number",223,"units",0,"v44387244","16.58.7",109,NA,NA,NA,0
"125",2019,"Ontario [35]","2016A000235","Trafficking in persons [1525]","Total, persons charged","Number",223,"units",0,"v44387244","16.58.7",162,NA,NA,NA,0
"126",2015,"Ontario [35]","2016A000235","Trafficking in persons [1525]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate",257,"units",0,"v44340013","16.58.8",0.79,NA,NA,NA,2
"127",2016,"Ontario [35]","2016A000235","Trafficking in persons [1525]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate",257,"units",0,"v44340013","16.58.8",1.03,NA,NA,NA,2
"128",2017,"Ontario [35]","2016A000235","Trafficking in persons [1525]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate",257,"units",0,"v44340013","16.58.8",1.39,NA,NA,NA,2
"129",2018,"Ontario [35]","2016A000235","Trafficking in persons [1525]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate",257,"units",0,"v44340013","16.58.8",0.87,NA,NA,NA,2
"130",2019,"Ontario [35]","2016A000235","Trafficking in persons [1525]","Rate, total persons charged per 100,000 population aged 12 years and over","Rate",257,"units",0,"v44340013","16.58.8",1.27,NA,NA,NA,2
"131",2015,"Ontario [35]","2016A000235","Trafficking in persons [1525]","Total, adult charged","Number",223,"units",0,"v44337764","16.58.9",91,NA,NA,NA,0
"132",2016,"Ontario [35]","2016A000235","Trafficking in persons [1525]","Total, adult charged","Number",223,"units",0,"v44337764","16.58.9",120,NA,NA,NA,0
"133",2017,"Ontario [35]","2016A000235","Trafficking in persons [1525]","Total, adult charged","Number",223,"units",0,"v44337764","16.58.9",155,NA,NA,NA,0
"134",2018,"Ontario [35]","2016A000235","Trafficking in persons [1525]","Total, adult charged","Number",223,"units",0,"v44337764","16.58.9",106,NA,NA,NA,0
"135",2019,"Ontario [35]","2016A000235","Trafficking in persons [1525]","Total, adult charged","Number",223,"units",0,"v44337764","16.58.9",157,NA,NA,NA,0
"136",2015,"Ontario [35]","2016A000235","Trafficking in persons [1525]","Rate, adult charged per 100,000 population aged 18 years and over","Rate",257,"units",0,"v44387619","16.58.10",0.83,NA,NA,NA,2
"137",2016,"Ontario [35]","2016A000235","Trafficking in persons [1525]","Rate, adult charged per 100,000 population aged 18 years and over","Rate",257,"units",0,"v44387619","16.58.10",1.08,NA,NA,NA,2
"138",2017,"Ontario [35]","2016A000235","Trafficking in persons [1525]","Rate, adult charged per 100,000 population aged 18 years and over","Rate",257,"units",0,"v44387619","16.58.10",1.37,NA,NA,NA,2
"139",2018,"Ontario [35]","2016A000235","Trafficking in persons [1525]","Rate, adult charged per 100,000 population aged 18 years and over","Rate",257,"units",0,"v44387619","16.58.10",0.92,NA,NA,NA,2
"140",2019,"Ontario [35]","2016A000235","Trafficking in persons [1525]","Rate, adult charged per 100,000 population aged 18 years and over","Rate",257,"units",0,"v44387619","16.58.10",1.33,NA,NA,NA,2
"141",2015,"Ontario [35]","2016A000235","Trafficking in persons [1525]","Total, youth charged","Number",223,"units",0,"v44327556","16.58.11",3,NA,NA,NA,0
"142",2016,"Ontario [35]","2016A000235","Trafficking in persons [1525]","Total, youth charged","Number",223,"units",0,"v44327556","16.58.11",5,NA,NA,NA,0
"143",2017,"Ontario [35]","2016A000235","Trafficking in persons [1525]","Total, youth charged","Number",223,"units",0,"v44327556","16.58.11",16,NA,NA,NA,0
"144",2018,"Ontario [35]","2016A000235","Trafficking in persons [1525]","Total, youth charged","Number",223,"units",0,"v44327556","16.58.11",3,NA,NA,NA,0
"145",2019,"Ontario [35]","2016A000235","Trafficking in persons [1525]","Total, youth charged","Number",223,"units",0,"v44327556","16.58.11",5,NA,NA,NA,0
"146",2015,"Ontario [35]","2016A000235","Trafficking in persons [1525]","Rate, youth charged per 100,000 population aged 12 to 17 years","Rate",257,"units",0,"v44412516","16.58.12",0.32,NA,NA,NA,2
"147",2016,"Ontario [35]","2016A000235","Trafficking in persons [1525]","Rate, youth charged per 100,000 population aged 12 to 17 years","Rate",257,"units",0,"v44412516","16.58.12",0.53,NA,NA,NA,2
"148",2017,"Ontario [35]","2016A000235","Trafficking in persons [1525]","Rate, youth charged per 100,000 population aged 12 to 17 years","Rate",257,"units",0,"v44412516","16.58.12",1.69,NA,NA,NA,2
"149",2018,"Ontario [35]","2016A000235","Trafficking in persons [1525]","Rate, youth charged per 100,000 population aged 12 to 17 years","Rate",257,"units",0,"v44412516","16.58.12",0.32,NA,NA,NA,2
"150",2019,"Ontario [35]","2016A000235","Trafficking in persons [1525]","Rate, youth charged per 100,000 population aged 12 to 17 years","Rate",257,"units",0,"v44412516","16.58.12",0.52,NA,NA,NA,2
"151",2015,"Ontario [35]","2016A000235","Trafficking in persons [1525]","Total, youth not charged","Number",223,"units",0,"v53089670","16.58.13",1,NA,NA,NA,0
"152",2016,"Ontario [35]","2016A000235","Trafficking in persons [1525]","Total, youth not charged","Number",223,"units",0,"v53089670","16.58.13",0,NA,NA,NA,0
"153",2017,"Ontario [35]","2016A000235","Trafficking in persons [1525]","Total, youth not charged","Number",223,"units",0,"v53089670","16.58.13",1,NA,NA,NA,0
"154",2018,"Ontario [35]","2016A000235","Trafficking in persons [1525]","Total, youth not charged","Number",223,"units",0,"v53089670","16.58.13",0,NA,NA,NA,0
"155",2019,"Ontario [35]","2016A000235","Trafficking in persons [1525]","Total, youth not charged","Number",223,"units",0,"v53089670","16.58.13",0,NA,NA,NA,0
"156",2015,"Ontario [35]","2016A000235","Trafficking in persons [1525]","Rate, youth not charged per 100,000 population aged 12 to 17 years","Rate",257,"units",0,"v53089671","16.58.14",0.11,NA,NA,NA,2
"157",2016,"Ontario [35]","2016A000235","Trafficking in persons [1525]","Rate, youth not charged per 100,000 population aged 12 to 17 years","Rate",257,"units",0,"v53089671","16.58.14",0,NA,NA,NA,2
"158",2017,"Ontario [35]","2016A000235","Trafficking in persons [1525]","Rate, youth not charged per 100,000 population aged 12 to 17 years","Rate",257,"units",0,"v53089671","16.58.14",0.11,NA,NA,NA,2
"159",2018,"Ontario [35]","2016A000235","Trafficking in persons [1525]","Rate, youth not charged per 100,000 population aged 12 to 17 years","Rate",257,"units",0,"v53089671","16.58.14",0,NA,NA,NA,2
"160",2019,"Ontario [35]","2016A000235","Trafficking in persons [1525]","Rate, youth not charged per 100,000 population aged 12 to 17 years","Rate",257,"units",0,"v53089671","16.58.14",0,NA,NA,NA,2
"161",2015,"Saskatchewan [47]","2016A000247","Trafficking in persons [1525]","Actual incidents","Number",223,"units",0,"v44369471","30.58.1",7,NA,NA,NA,0
"162",2016,"Saskatchewan [47]","2016A000247","Trafficking in persons [1525]","Actual incidents","Number",223,"units",0,"v44369471","30.58.1",3,NA,NA,NA,0
"163",2017,"Saskatchewan [47]","2016A000247","Trafficking in persons [1525]","Actual incidents","Number",223,"units",0,"v44369471","30.58.1",4,NA,NA,NA,0
"164",2018,"Saskatchewan [47]","2016A000247","Trafficking in persons [1525]","Actual incidents","Number",223,"units",0,"v44369471","30.58.1",1,NA,NA,NA,0
"165",2019,"Saskatchewan [47]","2016A000247","Trafficking in persons [1525]","Actual incidents","Number",223,"units",0,"v44369471","30.58.1",4,NA,NA,NA,0
"166",2015,"Saskatchewan [47]","2016A000247","Trafficking in persons [1525]","Rate per 100,000 population","Rate",257,"units",0,"v44406842","30.58.2",0.62,NA,NA,NA,2
"167",2016,"Saskatchewan [47]","2016A000247","Trafficking in persons [1525]","Rate per 100,000 population","Rate",257,"units",0,"v44406842","30.58.2",0.26,NA,NA,NA,2
"168",2017,"Saskatchewan [47]","2016A000247","Trafficking in persons [1525]","Rate per 100,000 population","Rate",257,"units",0,"v44406842","30.58.2",0.35,NA,NA,NA,2
"169",2018,"Saskatchewan [47]","2016A000247","Trafficking in persons [1525]","Rate per 100,000 population","Rate",257,"units",0,"v44406842","30.58.2",0.09,NA,NA,NA,2
